Timestamp,Blast_ID,Charge_Weight(kg),Burden(m),Spacing(m),Delay(ms),Soil_Type,Temperature(°C),Wind_Speed(m/s),Seismometer(m/s²),Geophone(mm/s),Acc_X(m/s²),Acc_Y(m/s²),Acc_Z(m/s²),PSD_Value,PPV(mm/s),Frequency(Hz),Vibration_Level
2024-01-01 00:00:00,B0001,218.5430534813131,2.7405317153544786,4.046822734943624,46,Soft,29.700503723796466,2.3721745707358703,2.4184515019125006,2.652783800153564,0.026724885000880834,0.06823631496329866,0.06509495986508311,0.29571106699433763,0.8337768362821507,37.051200132980625,Low
2024-01-01 00:01:00,B0002,477.8214378844623,4.167603789513432,3.9879151962879993,17,Medium,27.202158440724695,1.668882985348989,0.4135225157376634,0.6958455444050167,0.09801940813644112,0.05178451323919061,0.024989102973442118,0.2961626658910015,4.964772715017842,21.91477796580532,High
2024-01-01 00:02:00,B0003,379.3972738151323,5.491783343505633,6.625018322084147,16,Soft,24.76355350621628,2.8965670139423043,0.9924082829594066,0.6814369951117769,0.09948591871849533,0.054578588224051795,0.057576685378295744,0.07400307335233258,3.4501727806017763,46.74795259023517,Medium
2024-01-01 00:03:00,B0004,319.3963178886665,4.928899545638245,3.9981847993980244,23,Medium,17.663642513350467,4.44500305407333,0.16201353332802687,2.6257942703939974,0.06000554392141627,0.0484922609230115,0.06311047801100238,0.22936984822330514,2.9394342913924345,9.250567307092362,Medium
2024-01-01 00:04:00,B0005,120.20838819909643,5.2262445914457984,4.087798904514524,12,Hard,20.226660357707676,2.8465249220610103,0.6322707806405113,1.0321252150958935,0.025312846615944212,0.09604177394379103,0.03682375285122231,0.17183017958977964,3.944743251823848,21.68618888951814,Medium
2024-01-01 00:05:00,B0006,120.1975341512912,4.63513346684287,6.037593049671855,25,Medium,23.381989458341707,3.15861209163292,1.9731307321123719,2.171883136124534,0.03844943991468061,0.029326161260940696,0.013155845411684684,0.4997008052740019,4.280347218594759,36.90293555427898,High
2024-01-01 00:06:00,B0007,76.13762547568976,4.76910625807141,4.79895936980216,28,Medium,26.985985740127774,2.593739235573547,0.5828205574933106,1.8571953309020128,0.04820435494088817,0.056499783385948694,0.01335284925527765,0.18875978178453962,4.130216456201274,15.169404454767161,High
2024-01-01 00:07:00,B0008,439.7792655987208,5.396782606261278,6.106842227820724,27,Hard,25.2741571043061,0.25582753222737953,0.29215216606951744,2.5822339872180735,0.037839180192240064,0.07624156315288023,0.012371259897452585,0.44802344065723854,0.5744275218044448,34.538591040335284,Low
2024-01-01 00:08:00,B0009,320.50175528444396,2.9986720354367438,3.261464630257541,25,Soft,20.76369051919059,1.1642927843804713,1.238687631626856,0.8127222745910088,0.03525720218888642,0.060115997182110636,0.07652122004228916,0.3543051807682149,1.340635541857243,12.389763120230567,Low
2024-01-01 00:09:00,B0010,368.63266000822045,3.957699854572562,4.950284774693538,17,Hard,15.129287155794211,2.460008647160414,0.1239261633628444,0.8244574143065282,0.09750067382947218,0.0936118797145121,0.03862087343328684,0.2034123841364407,3.4470738595302395,7.519112818775887,Medium
